"Time, min.","VTAS, fps",Mach No.,"Altitude, ft","Climb Rate, Feet per Minute",Total Aircraft CD,Total Aircraft CL,Profile Drag,Induced Drag,Wave Drag,Wing Profile Drag,Fuselage Profile Drag,Fuselage Skin Friction,Reynolds Number,"Weight, Lbs","HEx Drag, lbs","FC Power Available, Watts","FC Power Required, Watts","Thrust Available, Lb","Thrust Required, Lb","Thrust Commanded, Lb","Thrust Power Commanded, Watts","Motor Power Commanded, Watts","Fuel Cell Power Commanded, Watts",TSFC lb/lbf-hr
241,748.442203630972,0.773,37000,0,0.0288924182751918,0.528129828371708,0,0,0,0,0,0,16834828.8030744,183921.872757917,609.32155887042,23201213.0933202,15527086.5474023,15776.7475819819,10672.8234332336,10672.8234332336,10830118.8612385,14123475.7079173,15527086.5474023,4.79866311784647e-05
242,748.442203630972,0.773,37000,0,0.0288888732688727,0.528041604604423,0,0,0,0,0,0,16834828.8030744,183891.149560524,608.946781060489,23201213.0933202,15524780.8122479,15776.7475819819,10671.2138962769,10671.2138962769,10828485.6030233,14121234.0337635,15524780.8122479,4.7984539984122e-05
243,748.442203630972,0.773,37000,0,0.0288853297165701,0.527953397986,0,0,0,0,0,0,16834828.8030744,183860.432333243,608.572157195508,23201213.0933202,15522476.0231359,15776.7475819819,10669.6050197128,10669.6050197128,10826853.0149334,14118993.279368,15522476.0231359,4.79824498730089e-05
244,748.442203630972,0.773,37000,0,0.0288817876160454,0.527865208507829,0,0,0,0,0,0,16834828.8030744,183829.721073079,608.1976870386,23201213.0933202,15520172.1786103,15776.7475819819,10667.9968025248,10667.9968025248,10825221.0959375,14116753.4433151,15520172.1786103,4.79803608435119e-05
245,748.442203630972,0.773,37000,0,0.0288782469650629,0.527777036161316,0,0,0,0,0,0,16834828.8030744,183799.015777043,607.82337035316,23201213.0933202,15517869.2772163,15776.7475819819,10666.3892436974,10666.3892436974,10823589.8450051,14114514.5241906,15517869.2772163,4.79782728940197e-05
246,748.442203630972,0.773,37000,0,0.0288747077613893,0.527688880937875,0,0,0,0,0,0,16834828.8030744,183768.316442151,607.449206902861,23201213.0933202,15515567.3175013,15776.7475819819,10664.7823422166,10664.7823422166,10821959.2611071,14112276.5205819,15515567.3175013,4.79761860229234e-05
247,748.442203630972,0.773,37000,0,0.028871170002794,0.527600742828938,0,0,0,0,0,0,16834828.8030744,183737.62306542,607.075196451648,23201213.0933202,15513266.2980138,15776.7475819819,10663.1760970692,10663.1760970692,10820329.3432156,14110039.4310782,15513266.2980138,4.79741002286162e-05
248,748.442203630972,0.773,37000,0,0.0288676336870488,0.527512621825948,0,0,0,0,0,0,16834828.8030744,183706.935643877,606.701338763739,23201213.0933202,15510966.2173046,15776.7475819819,10661.5705072434,10661.5705072434,10818700.0903039,14107803.2542704,15510966.2173046,4.79720155094936e-05
249,748.442203630972,0.773,37000,0,0.0288640988119283,0.527424517920359,0,0,0,0,0,0,16834828.8030744,183676.254174548,606.327633603625,23201213.0933202,15508667.0739256,15776.7475819819,10659.9655717286,10659.9655717286,10817071.5013463,14105567.9887506,15508667.0739256,4.79699318639533e-05
250,748.442203630972,0.773,37000,0,0.0288605653752096,0.527336431103641,0,0,0,0,0,0,16834828.8030744,183645.578654467,605.954080736069,23201213.0933202,15506368.8664308,15776.7475819819,10658.3612895153,10658.3612895153,10815443.5753184,14103333.6331131,15506368.8664308,4.79678492903955e-05
251,748.442203630972,0.773,37000,0,0.0288570333746723,0.527248361367276,0,0,0,0,0,0,16834828.8030744,183614.909080671,605.580679926108,23201213.0933202,15504071.5933757,15776.7475819819,10656.7576595951,10656.7576595951,10813816.3111972,14101100.1859533,15504071.5933757,4.79657677872222e-05
252,748.442203630972,0.773,37000,0,0.0288535028080985,0.527160308702756,0,0,0,0,0,0,16834828.8030744,183584.245450202,605.207430939048,23201213.0933202,15501775.2533174,15776.7475819819,10655.1546809608,10655.1546809608,10812189.7079605,14098867.6458687,15501775.2533174,4.7963687352838e-05
253,748.442203630972,0.773,37000,0,0.0288499736732732,0.527072273101591,0,0,0,0,0,0,16834828.8030744,183553.587760107,604.834333540469,23201213.0933202,15499479.8448149,15776.7475819819,10653.5523526065,10653.5523526065,10810563.7645875,14096636.0114581,15499479.8448149,4.79616079856497e-05
254,748.442203630972,0.773,37000,0,0.0288464459679836,0.526984254555299,0,0,0,0,0,0,16834828.8030744,183522.936007435,604.46138749622,23201213.0933202,15497185.3664286,15776.7475819819,10651.9506735273,10651.9506735273,10808938.4800587,14094405.2813219,15497185.3664286,4.79595296840661e-05
255,748.442203630972,0.773,37000,0,0.0288429196900195,0.526896253055413,0,0,0,0,0,0,16834828.8030744,183492.290189244,604.088592572422,23201213.0933202,15494891.8167206,15776.7475819819,10650.3496427195,10650.3496427195,10807313.8533554,14092175.4540624,15494891.8167206,4.79574524464984e-05
256,748.442203630972,0.773,37000,0,0.0288393948371736,0.52680826859348,0,0,0,0,0,0,16834828.8030744,183461.650302591,603.715948535466,23201213.0933202,15492599.194255,15776.7475819819,10648.7492591807,10648.7492591807,10805689.8834605,14089946.5282833,15492599.194255,4.79553762713599e-05
257,748.442203630972,0.773,37000,0,0.0288358714072406,0.526720301161057,0,0,0,0,0,0,16834828.8030744,183431.016344542,603.343455152011,23201213.0933202,15490307.4975971,15776.7475819819,10647.1495219093,10647.1495219093,10804066.5693577,14087718.5025898,15490307.4975971,4.79533011570664e-05
258,748.442203630972,0.773,37000,0,0.0288323493980183,0.526632350749715,0,0,0,0,0,0,16834828.8030744,183400.388312164,602.971112188987,23201213.0933202,15488016.725314,15776.7475819819,10645.5504299053,10645.5504299053,10802443.9100322,14085491.3755891,15488016.725314,4.79512271020356e-05
259,748.442203630972,0.773,37000,0,0.0288288288073066,0.526544417351039,0,0,0,0,0,0,16834828.8030744,183369.766202532,602.598919413595,23201213.0933202,15485726.8759747,15776.7475819819,10643.9519821696,10643.9519821696,10800821.9044702,14083265.1458897,15485726.8759747,4.79491541046876e-05
