"Time, min.","Thrust, lbf","VTAS, fps","Altitude, ft",Total Aircraft CD,Total Aircraft CL,Profile Drag,Induced Drag,Wave Drag
79,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
80,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
81,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
82,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
83,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
84,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
85,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
86,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
87,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
88,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
89,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
90,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
91,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
92,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
93,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
94,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
95,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
96,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
97,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
98,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
99,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
100,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
101,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
102,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
103,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
104,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
105,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
106,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
107,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
108,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
109,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
110,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
111,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
112,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
113,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
114,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
115,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
116,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
117,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
118,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
119,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
120,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
121,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
122,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
123,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
124,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
125,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
126,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
127,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
128,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
129,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
130,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
131,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
132,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
133,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
134,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
135,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
136,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
137,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
138,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
139,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
140,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
141,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
142,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
143,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
144,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
145,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
146,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
147,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
148,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
149,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
150,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
151,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
152,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
153,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
154,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
155,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
156,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
157,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
158,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
159,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
160,10499.6461731531,749.41043416607,37000,0.0411628130400456,0.670579345491626,0.0193247525749738,0.0165484038645861,0.00528965660048572
